Latitude,Longitude,O3_Total,CO_Total,CH4_Total
-13.037103019920334,-42.45381726588357,273.58307,1.3776297e+18,3.772265e+19
-12.978672146311945,-42.0769240133653,262.12814,1.2147877e+18,3.556466e+19
-12.920778251153028,-41.707594921328614,262.73737,1.4522844e+18,3.5373545e+19
-12.863006878153048,-41.342786499724944,269.69223,1.2286241e+18,3.717259e+19
-12.804664527932305,-40.97771125022818,268.34702,1.3775094e+18,3.7507473e+19
-12.746475194292962,-40.61713755965283,268.62073,1.4362666e+18,3.841175e+19
-12.686282942866486,-40.24676629985323,270.2798,1.3896909e+18,3.8565885e+19
-12.62475557947816,-39.87120966588797,278.14746,1.3504331e+18,3.9430783e+19
-12.561070790656935,-39.48529016236953,273.15384,1.4109326e+18,3.9836384e+19
-12.49461643666281,-39.08535889191331,269.64474,1.411096e+18,3.9836353e+19
-12.425019148580633,-38.66945995684772,277.5063,1.5147352e+18,3.993022e+19
-12.350341255591657,-38.225929112543206,278.8786,1.5328935e+18,4.0175284e+19
-12.270559121468912,-37.75546663933454,278.97305,1.5878325e+18,4.0362245e+19
-12.183938201161684,-37.24832708100845,273.40866,1.6884099e+18,4.1078986e+19
-12.088684017787637,-36.69490158020912,271.7094,1.6482703e+18,4.0511114e+19
-11.982383403620652,-36.082510462483825,282.6302,1.7439471e+18,4.0293877e+19
-11.861037986921305,-35.39001869899872,285.1123,1.7446879e+18,4.032067e+19
-11.7217736884954,-34.60434929420447,279.34396,1.774709e+18,4.145592e+19
-11.555297847585503,-33.6773543344229,282.5245,1.8373443e+18,4.111367e+19
-13.42016476664222,-48.83252983280587,277.31113,2.1301918e+18,3.7480042e+19
-13.302090761407499,-47.88558554745363,277.02527,2.1641829e+18,3.786229e+19
-13.19785558497169,-47.077592007558785,272.91138,1.5969699e+18,3.808221e+19
-13.104972166971653,-46.37841525040325,275.17493,1.4428109e+18,3.7301403e+19
-13.020434804850114,-45.75796490374164,275.49493,1.4409384e+18,3.700376e+19
-12.942448456741635,-45.19829299400282,276.58624,1.712684e+18,3.7239355e+19
-12.869657081523872,-44.686287535743254,271.0074,1.4445455e+18,3.7246898e+19
-12.800997391092542,-44.212040327353584,273.4327,1.4565603e+18,3.7021436e+19
-12.735616974118997,-43.76783770839766,273.60944,1.4489877e+18,3.7823767e+19
-12.672508655190978,-43.34538077026854,269.01288,1.440116e+18,3.7962636e+19
-12.61198744523234,-42.94602231740785,272.57245,1.3175937e+18,3.723361e+19
-12.552618341218643,-42.559071790582365,275.31433,1.402707e+18,3.783424e+19
-12.49423816108589,-42.18296569438486,266.32684,1.2368439e+18,3.631218e+19
-12.43641351977122,-41.814400938691406,268.03925,1.2496635e+18,3.6714905e+19
-12.378731355684055,-41.45034024762675,280.96368,1.4144669e+18,3.7078285e+19
-12.320781081135355,-41.08789913086191,291.45554,1.3420235e+18,3.7583476e+19
-12.262436950164137,-40.72615744486017,276.55466,1.3873698e+18,3.754501e+19
-12.202395597250078,-40.3565238037414,285.49503,1.3543654e+18,3.800225e+19
-12.141042132681811,-39.98170763830112,276.9768,1.4253217e+18,3.882353e+19
-12.077242808488947,-39.59449689597627,270.2772,1.4205572e+18,3.8783e+19
-12.011335886519412,-39.197381742909,279.19678,1.4906702e+18,3.9579806e+19
-11.941650568475277,-38.78004349156248,292.4449,1.50996e+18,3.865169e+19
-11.867636344023603,-38.3395826721579,288.3474,1.5538001e+18,3.967181e+19
-11.788217082890247,-37.86999582607861,280.5526,1.5078463e+18,4.039015e+19
-11.70202504579221,-37.36378692081756,283.38467,1.6451375e+18,4.0750914e+19
-11.607278872615396,-36.811362557679246,275.45724,1.6834892e+18,4.053935e+19
-11.501595649893735,-36.20006019056119,279.09515,1.7122278e+18,4.0800493e+19
-11.381013956226921,-35.50877676778893,283.5407,1.6889242e+18,4.07937e+19
-11.242706795684745,-34.72444765390308,280.62228,1.8586806e+18,4.1687495e+19
-11.077476711230123,-33.798994922848394,294.6445,1.7934276e+18,4.073475e+19
-12.937955518352412,-48.92387607326794,271.2664,1.8423678e+18,3.8442524e+19
-12.818608390724446,-47.9746185823074,269.22992,1.8555479e+18,3.8757855e+19
-12.714421693145498,-47.172975437444194,271.37927,1.653613e+18,3.8690438e+19
-12.621176804978914,-46.475363784290714,270.49808,1.5235526e+18,3.747043e+19
-12.536376121405723,-45.85628230613614,271.36456,1.4393628e+18,3.7222458e+19
-12.458202536049278,-45.29782818367284,270.4946,1.5056003e+18,3.7567207e+19
-12.385281245085212,-44.786922677223366,269.07712,1.418975e+18,3.7539258e+19
-12.316533067723109,-44.31368254716484,269.73413,1.394453e+18,3.7223764e+19
-12.251103788299654,-43.870411171920594,266.71967,1.47763e+18,3.726855e+19
-12.187974301671929,-43.44883078066737,271.10394,1.4251665e+18,3.7707646e+19
-12.12745641181256,-43.05029257447586,269.1502,1.4057615e+18,3.7584003e+19
-12.068113885007449,-42.66412860563604,272.7617,1.3235752e+18,3.7146565e+19
-12.009780743664061,-42.288779398899315,267.75497,1.2306924e+18,3.6341214e+19
-11.952022481478881,-41.920949009773175,270.44855,1.3023062e+18,3.6807165e+19
-11.894146520093553,-41.55571613737045,278.53186,1.278129e+18,3.6776144e+19
-11.836298240985416,-41.193983862607105,264.40533,1.3805076e+18,3.6577372e+19
-11.778359093172927,-40.83483098672493,273.17978,1.4251339e+18,3.739275e+19
-11.718463958475297,-40.4659046265879,272.1918,1.466634e+18,3.7622557e+19
-11.656976898871171,-40.08982074629449,269.24036,1.4740035e+18,3.7899163e+19
-11.593990448918369,-39.707352721282234,281.18793,1.367431e+18,3.89958e+19
-11.527992933572392,-39.30893224927865,271.94293,1.4292108e+18,3.893298e+19
-11.45892107014892,-38.89458615026795,273.8643,1.4714947e+18,3.89084e+19
-11.384859804227636,-38.45269147094184,280.2765,1.5152091e+18,3.9556606e+19
-11.30579440289269,-37.983942500709354,277.11087,1.4882694e+18,3.9598744e+19
-11.220023615918416,-37.47862278405028,278.2686,1.4818992e+18,4.0540164e+19
-11.125780697942375,-36.92715310346434,270.98434,1.6496351e+18,4.0804667e+19
-11.020704616555186,-36.31688888097107,268.0035,1.6324466e+18,4.0708934e+19
-10.900881440324104,-35.62675444645141,278.66986,1.8252052e+18,4.09674e+19
-10.763516184026301,-34.843699884124014,284.21655,1.7603332e+18,4.088762e+19
-10.59951764164669,-33.919709744414675,279.8981,1.8921585e+18,4.135386e+19
-12.45512235387986,-49.01020315607441,271.25342,1.9580169e+18,3.854034e+19
-12.33569936821818,-48.06844864335158,271.69827,1.8566004e+18,3.882174e+19
-12.231003458804503,-47.26856880989043,271.36606,1.7391995e+18,3.830397e+19
-12.13739138288643,-46.57246549645048,271.5824,1.630173e+18,3.7874296e+19
-12.052327492860863,-45.95470153665807,274.02728,1.5521588e+18,3.7013106e+19
-11.973962444765059,-45.397419838488126,274.48636,1.6769288e+18,3.737191e+19
-11.900907204246904,-44.8875729030161,270.68655,1.5451867e+18,3.7914653e+19
